file,label,prediksi,keyakinan,asal
TR__ovale__532.jpg,ovale,rectangular,0.9988,TR
TR__rectangular__image square 158.jpg,square,rectangular,0.9967,TR
TR__round__round 636.jpg,round,ovale,0.9928,TR
TR__ovale__528.jpg,ovale,rectangular,0.9892,TR
TE__square__square t66.jpg,square,rectangular,0.9891,TE
TE__round__round t23.jpg,round,ovale,0.9883,TE
TE__round__round t16.jpg,round,square,0.9860,TE
TE__square__square t34.jpg,square,ovale,0.9838,TE
TR__square__CAR1.jpg,square,rectangular,0.9828,TR
TR__rectangular__image ovale 239.jpg,ovale,square,0.9794,TR
TE__ovale__ovale t124.jpg,ovale,rectangular,0.9748,TE
TR__ovale__ovale 358.jpg,ovale,square,0.9743,TR
TR__square__square 145.jpg,square,rectangular,0.9703,TR
TE__ovale__ovale t57.jpg,ovale,square,0.9698,TE
TR__ovale__508.jpg,ovale,rectangular,0.9670,TR
TE__ovale__ovale t88.jpg,ovale,round,0.9662,TE
TR__ovale__ovale 333.jpg,ovale,square,0.9650,TR
TE__rectangular__39.jpg,rectangular,square,0.9647,TE
TR__round__round 680.jpg,round,rectangular,0.9640,TR
TR__ovale__image ovale 226.jpg,ovale,square,0.9622,TR
TR__square__images round 41.jpg,round,square,0.9615,TR
TR__ovale__500.jpg,ovale,rectangular,0.9526,TR
TE__rectangular__66.jpg,rectangular,square,0.9495,TE
TE__round__round t20.jpg,round,square,0.9489,TE
TR__ovale__ovale 3.jpg,ovale,square,0.9453,TR
TR__round__images round 57.jpg,round,square,0.9440,TR
TR__square__square 249.jpg,square,rectangular,0.9424,TR
TE__square__round t46.jpg,round,square,0.9419,TE
TR__ovale__524.jpg,ovale,rectangular,0.9416,TR
TE__round__round t63.jpg,round,ovale,0.9393,TE
TR__rectangular__image sqaure 177.jpg,rectangular,square,0.9376,TR
TR__round__round 425.jpg,round,ovale,0.9369,TR
TE__rectangular__69.jpg,rectangular,square,0.9360,TE
TR__rectangular__image ovale 241.jpg,ovale,square,0.9342,TR
TR__round__round 527.jpg,round,square,0.9316,TR
TR__square__images round 50.jpg,round,square,0.9275,TR
TR__square__RO7.jpg,square,rectangular,0.9264,TR
TE__round__round t26.jpg,round,rectangular,0.9246,TE
TE__round__round t22.jpg,round,square,0.9243,TE
TR__ovale__image ovale 220.jpg,ovale,square,0.9233,TR
TR__round__round 662.jpg,round,rectangular,0.9233,TR
